Year,Total,APPLICATION_TYPE,STATUS,ADDRESS,Postcode,_id,Neighbourhood,Rent,Whole_Toronto_AV
2015,"1,208",CD,Closed,366 DUNDAS ST,M5A,130858,Harbourfront,**,1208
2015,"1,208",CD,Closed,362 DUNDAS ST,M5A,130859,Harbourfront,**,1208
2015,"1,208",CD,Closed,360 DUNDAS ST,M5A,130860,Harbourfront,**,1208
2015,"1,208",CD,Closed,358 DUNDAS ST,M5A,130861,Harbourfront,**,1208
2016,"1,240",CD,Closed,61 HAYDEN ST,M4Y,130901,Church and Wellesley,**,1240
2017,"1,308",CD,Closed,61 HAYDEN ST,M4Y,130903,Church and Wellesley,**,1308
2017,"1,308",CD,Closed,261 QUEENS QUAY  ,M5A,130959,Harbourfront,**,1308
2017,"1,308",CD,Draft Plan Approved,261 QUEENS QUAY  ,M5A,130961,Harbourfront,**,1308
2018,"1,370",CD,Draft Plan Approved,7 GLOUCESTER ST,M4Y,130984,Church and Wellesley,**,1370
2018,"1,370",CD,Closed,31 DUNDONALD ST,M4Y,131024,Church and Wellesley,**,1370
2018,"1,370",CD,Closed,33 DUNDONALD ST,M4Y,131028,Church and Wellesley,**,1370
2016,"1,240",CD,Closed,355 CHURCH ST,M5B,131089,Ryerson,**,1240
2018,"1,370",CD,Draft Plan Approved,9 GLOUCESTER ST,M4Y,131126,Church and Wellesley,**,1370
2018,"1,370",CD,Draft Plan Approved,11 GLOUCESTER ST,M4Y,131127,Church and Wellesley,**,1370
2018,"1,370",CD,Closed,46 WELLESLEY ST,M4Y,131271,Church and Wellesley,**,1370
2016,"1,240",CD,Closed,188 LIPPINCOTT ST,M5S,131282,Harbord,**,1240
2016,"1,240",CD,Closed,365 CHURCH ST,M5B,131286,Ryerson,**,1240
2016,"1,240",CD,Closed,64 CHARLES ST,M4Y,131291,Church and Wellesley,**,1240
2017,"1,308",CD,Closed,64 CHARLES ST,M4Y,131293,Church and Wellesley,**,1308
2017,"1,308",CD,Draft Plan Approved,387 SHUTER ST,M5A,131298,Harbourfront,**,1308
2017,"1,308",CD,Draft Plan Approved,17 DUNDONALD ST,M4Y,131330,Church and Wellesley,**,1308
2014,"1,170",CD,Closed,5 ST JOSEPH ST,M4Y,131383,Church and Wellesley,**,1170
2011,"1,073",CD,Closed,620 CHURCH ST,M4Y,131427,Church and Wellesley,**,1073
2015,"1,208",CD,Closed,42 CHARLES ST,M4Y,131443,Church and Wellesley,**,1208
2018,"1,370",CD,Draft Plan Approved,593 YONGE ST,M4Y,131469,Church and Wellesley,**,1370
2015,"1,208",CD,Closed,709 YONGE ST,M4Y,131487,Church and Wellesley,**,1208
2015,"1,208",CD,Closed,711 YONGE ST,M4Y,131489,Church and Wellesley,**,1208
2015,"1,208",CD,Closed,23 BLOOR ST,M4W,131491,Rosedale,**,1208
2018,"1,370",CD,Draft Plan Approved,897 QUEEN ST,M4M,131637,Studio District,**,1370
2015,"1,208",CD,Closed,251 KING ST,M5A,131731,Harbourfront,**,1208
2018,"1,370",CD,Draft Plan Approved,120 PARLIAMENT ST,M5A,131736,Harbourfront,**,1370
2018,"1,370",CD,Draft Plan Approved,116 PARLIAMENT ST,M5A,131742,Harbourfront,**,1370
2018,"1,370",CD,Draft Plan Approved,114 PARLIAMENT ST,M5A,131819,Harbourfront,**,1370
2011,"1,073",CD,Closed,591 DUNDAS ST,M5T,131930,Chinatown,**,1073
2010,"1,048",CD,Closed,1386 GERRARD ST,M4L,131955,The Beaches West,**,1048
2014,"1,170",CD,Closed,345 CARLAW AVE,M4M,131982,Studio District,**,1170
2018,"1,370",CD,Draft Plan Approved,112 PARLIAMENT ST,M5A,132024,Harbourfront,**,1370
2016,"1,240",CD,Closed,5 SULTAN ST,M5S,132101,Harbord,**,1240
2013,"1,138",CD,Closed,591 DUNDAS ST,M5T,132205,Chinatown,**,1138
2014,"1,170",CD,Closed,591 DUNDAS ST,M5T,132207,Chinatown,**,1170
2012,"1,108",CD,Closed,150 BROADVIEW AVE,M4M,132383,Studio District,**,1108
2018,"1,370",CD,Draft Plan Approved,424 ADELAIDE ST,M5A,132729,Harbourfront,**,1370
2018,"1,370",CD,Draft Plan Approved,424 ADELAIDE ST,M5A,132730,Harbourfront,**,1370
2015,"1,208",CD,Closed,1230 DUNDAS ST,M4M,132756,Studio District,**,1208
2014,"1,170",CD,Closed,42 CURZON ST,M4M,133005,Studio District,**,1170
2018,"1,370",CD,Draft Plan Approved,93 BERKELEY ST,M5A,133037,Harbourfront,**,1370
2017,"1,308",CD,Draft Plan Approved,1321 GERRARD ST,M4L,133114,The Beaches West,**,1308
2018,"1,370",CD,Draft Plan Approved,124 PARLIAMENT ST,M5A,133131,Harbourfront,**,1370
2018,"1,370",CD,Under Review ,169 JONES AVE,M4M,133160,Studio District,**,1370
2016,"1,240",CD,Closed,715 KINGSTON RD,M4E,133205,The Beaches,1217,1240
2016,"1,240",CD,Closed,663 KINGSTON RD,M4E,133338,The Beaches,1217,1240
2013,"1,138",CD,Closed,66 KIPPENDAVIE AVE,M4L,133418,The Beaches West,**,1138
2018,"1,370",CD,Draft Plan Approved,14 TRENT AVE,M4C,133566,Woodbine Heights,**,1370
2013,"1,138",CD,Closed,19 KIPPENDAVIE AVE,M4L,134213,The Beaches West,**,1138
2017,"1,308",CD,Closed,1133 YONGE ST,M4T,134223,Moore Park,1737,1308
2013,"1,138",CD,Closed,323 KINGSTON RD,M4L,134389,The Beaches West,**,1138
2014,"1,170",CD,Closed,2055 DANFORTH AVE,M4C,134421,Woodbine Heights,**,1170
2014,"1,170",CD,Closed,2057 DANFORTH AVE,M4C,134424,Woodbine Heights,**,1170
2011,"1,073",CD,Closed,184 ST CLAIR AVE,M4T,134464,Moore Park,1003,1073
2018,"1,370",CD,Under Review ,73 WOODBINE AVE,M4L,134641,The Beaches West,**,1370
2018,"1,370",CD,Under Review ,3 BULLER AVE,M4L,134661,The Beaches West,**,1370
2013,"1,138",CD,Closed,4 BELLEFAIR AVE,M4L,134694,The Beaches West,**,1138
2014,"1,170",CD,Closed,580 KINGSTON RD,M4E,134732,The Beaches,1129,1170
2018,"1,370",CD,Under Review ,77 WOODBINE AVE,M4L,134867,The Beaches West,**,1370
2018,"1,370",CD,Under Review ,79 WOODBINE AVE,M4L,134870,The Beaches West,**,1370
2018,"1,370",CD,Under Review ,83 WOODBINE AVE,M4L,134873,The Beaches West,**,1370
2017,"1,308",CD,Closed,195 ROEHAMPTON AVE,M4P,135005,Davisville North,**,1308
2017,"1,308",CD,Closed,143 REDPATH AVE,M4P,135013,Davisville North,**,1308
2017,"1,308",CD,Closed,145 REDPATH AVE,M4P,135017,Davisville North,**,1308
2017,"1,308",CD,Closed,183 ROEHAMPTON AVE,M4P,135021,Davisville North,**,1308
2016,"1,240",CD,Closed,1960 A QUEEN ST,M4L,135147,The Beaches West,**,1240
2016,"1,240",CD,Closed,1960 QUEEN ST,M4L,135151,The Beaches West,**,1240
2018,"1,370",CD,Draft Plan Approved,173 ROEHAMPTON AVE,M4P,135176,Davisville North,**,1370
2016,"1,240",CD,Closed,124 BELSIZE DR,M4S,135217,Davisville,**,1240
2017,"1,308",CD,Closed,185 ROEHAMPTON AVE,M4P,135297,Davisville North,**,1308
2017,"1,308",CD,Closed,187 ROEHAMPTON AVE,M4P,135301,Davisville North,**,1308
2017,"1,308",CD,Closed,189 ROEHAMPTON AVE,M4P,135305,Davisville North,**,1308
2016,"1,240",CD,Closed,68 MERTON ST,M4S,135370,Davisville,**,1240
2018,"1,370",CD,Draft Plan Approved,165 ROEHAMPTON AVE,M4P,135449,Davisville North,**,1370
2017,"1,308",CD,Under Review ,197 REDPATH AVE,M4P,135572,Davisville North,**,1308
2017,"1,308",CD,Under Review ,95 BROADWAY AVE,M4P,135576,Davisville North,**,1308
2017,"1,308",CD,Closed,104 ROSEDALE HEIGHTS DR,M4T,135717,Moore Park,1737,1308
2017,"1,308",CD,Under Review ,107 BROADWAY AVE,M4P,135881,Davisville North,**,1308
2018,"1,370",CD,Draft Plan Approved,1027 YONGE ST,M4W,136228,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,10 EGLINTON AVE,M4P,136280,Davisville North,**,1370
2017,"1,308",CD,Closed,139 REDPATH AVE,M4P,136285,Davisville North,**,1308
2017,"1,308",CD,Closed,141 REDPATH AVE,M4P,136289,Davisville North,**,1308
2017,"1,308",CD,Closed,126 HUDSON DR,M4T,136337,Moore Park,1737,1308
2013,"1,138",CD,Closed,2316 GERRARD ST,M4E,136456,The Beaches,1148,1138
2013,"1,138",CD,Closed,1815 YONGE ST,M4T,136485,Moore Park,1439,1138
2018,"1,370",CD,Under Review ,34 COULSON AVE,M4V,136650,Deer Park,**,1370
2014,"1,170",CD,Draft Plan Approved,1733-1735 BATHURST ST,M5P,136719,Forest Hill North,1299,1170
2018,"1,370",CD,Under Review ,2131 YONGE ST,M4S,136893,Davisville,**,1370
2014,"1,170",CD,Closed,193 DUPLEX AVE,M5P,137051,Forest Hill North,1299,1170
2013,"1,138",CD,Closed,17 GLEBE RD,M5P,137147,Forest Hill North,1249,1138
2013,"1,138",CD,Closed,2008 YONGE ST,M4S,137151,Davisville,**,1138
2018,"1,370",CD,Draft Plan Approved,151 ROEHAMPTON AVE,M4P,137178,Davisville North,**,1370
2018,"1,370",CD,Draft Plan Approved,157 ROEHAMPTON AVE,M4P,137259,Davisville North,**,1370
2017,"1,308",CD,Closed,191 ROEHAMPTON AVE,M4P,137262,Davisville North,**,1308
2017,"1,308",CD,Closed,193 ROEHAMPTON AVE,M4P,137266,Davisville North,**,1308
2018,"1,370",CD,Draft Plan Approved,161 ROEHAMPTON AVE,M4P,137467,Davisville North,**,1370
2018,"1,370",CD,Draft Plan Approved,167 ROEHAMPTON AVE,M4P,137472,Davisville North,**,1370
2016,"1,240",CD,Closed,282 ST CLAIR AVE,M4V,137621,Deer Park,**,1240
2014,"1,170",CD,Closed,288 ST CLAIR AVE,M4V,137624,Deer Park,**,1170
2014,"1,170",CD,Closed,290 ST CLAIR AVE,M4V,137898,Deer Park,**,1170
2015,"1,208",CD,Closed,538 EGLINTON AVE,M4P,137927,Davisville North,**,1208
2013,"1,138",CD,Closed,439 DUPLEX AVE,M4R,138723,North Toronto West,**,1138
2014,"1,170",CD,Closed,195 DUPLEX AVE,M5P,138788,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,197 DUPLEX AVE,M5P,138791,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,199 DUPLEX AVE,M5P,138794,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,201 DUPLEX AVE,M5P,138797,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,203 DUPLEX AVE,M5P,138800,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,205 DUPLEX AVE,M5P,138803,Forest Hill North,1299,1170
2013,"1,138",CD,Closed,1994-2000 YONGE ST,M4S,138807,Davisville,**,1138
2014,"1,170",CD,Closed,207 DUPLEX AVE,M5P,139026,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,209 DUPLEX AVE,M5P,139106,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,211 DUPLEX AVE,M5P,139109,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,54 BERWICK AVE,M5P,139148,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,56 BERWICK AVE,M5P,139151,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,58 BERWICK AVE,M5P,139154,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,62 BERWICK AVE,M5P,139157,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,66 BERWICK AVE,M5P,139236,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,68 BERWICK AVE,M5P,139457,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,70 BERWICK AVE,M5P,139460,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,72 BERWICK AVE,M5P,139463,Forest Hill North,1299,1170
2014,"1,170",CD,Closed,74 BERWICK AVE,M5P,139466,Forest Hill North,1299,1170
2011,"1,073",CD,Closed,555 MORTIMER AVE,M4J,140171,East Toronto,**,1073
2018,"1,370",CD,Under Review ,101 OAKDALE RD,M3N,140418,Downsview Northwest,**,1370
2014,"1,170",CD,Closed,877 WILSON AVE,M3K,142070,CFB Toronto,**,1170
2016,"1,240",CD,Closed,855 WILSON AVE,M3K,142075,CFB Toronto,**,1240
2015,"1,208",CD,Closed,209 WICKSTEED AVE,M4G,142258,Leaside,**,1208
2012,"1,108",CD,Refused,1477 BAYVIEW AVE,M4G,143005,Leaside,**,1108
2017,"1,308",CD,Closed,2522 KEELE ST,M6L,143077,Downsview,1120,1308
2015,"1,208",CD,Closed,2277-2295 SHEPPARD AVE,M9M,143591,Emery,**,1208
2012,"1,108",CD,Closed,701 SHEPPARD AVE,M3H,143952,Bathurst Manor,1111,1108
2011,"1,073",CD,Closed,200-214 DOLOMITE DR,M3J,144028,Northwood Park,**,1073
2013,"1,138",CD,Closed,545 WILSON AVE,M3H,144183,Bathurst Manor,1181,1138
2018,"1,370",CD,Under Review ,35 TANGIERS RD,M3J,144321,Northwood Park,**,1370
2015,"1,208",CD,Closed,645 LAWRENCE AVE,M6A,144459,Lawrence Heights,**,1208
2015,"1,208",CD,Closed,643 LAWRENCE AVE,M6A,144462,Lawrence Heights,**,1208
2015,"1,208",CD,Closed,641 LAWRENCE AVE,M6A,144465,Lawrence Heights,**,1208
2015,"1,208",CD,Closed,639 LAWRENCE AVE,M6A,144468,Lawrence Heights,**,1208
2012,"1,108",CD,Closed,525 WILSON AVE,M3H,144521,Bathurst Manor,1111,1108
2010,"1,048",CD,Closed,2277-2295 SHEPPARD AVE,M9M,145142,Emery,**,1048
2018,"1,370",CD,Draft Plan Approved,747 SHEPPARD AVE,M3H,145205,Bathurst Manor,1342,1370
2014,"1,170",CD,Closed,2828 BATHURST ST,M6B,145673,Glencairn,**,1170
2016,"1,240",CD,Closed,770 LAWRENCE AVE,M6A,145743,Lawrence Heights,**,1240
2016,"1,240",CD,Closed,3083-3085 DUFFERIN ST,M6A,145814,Lawrence Heights,**,1240
2016,"1,240",CD,Closed,3089 DUFFERIN ST,M6A,145815,Lawrence Heights,**,1240
2017,"1,308",CD,Draft Plan Approved,3089 DUFFERIN ST,M6A,145816,Lawrence Heights,**,1308
2012,"1,108",CD,Closed,760 SHEPPARD AVE,M3H,146095,Bathurst Manor,1111,1108
2012,"1,108",CD,Closed,764 SHEPPARD AVE,M3H,146098,Bathurst Manor,1111,1108
2012,"1,108",CD,Closed,724 SHEPPARD AVE,M3H,146685,Bathurst Manor,1111,1108
2017,"1,308",CD,Draft Plan Approved,5218 YONGE ST,M2N,146890,Willowdale South,**,1308
2014,"1,170",CD,Closed,4750 YONGE ST,M2N,146902,Willowdale South,**,1170
2015,"1,208",CD,Closed,15 ELDORA AVE,M2M,146949,Newtonbrook,**,1208
2015,"1,208",CD,Closed,17 ELDORA AVE,M2M,146952,Newtonbrook,**,1208
2015,"1,208",CD,Closed,19 ELDORA AVE,M2M,146955,Newtonbrook,**,1208
2015,"1,208",CD,Closed,21 ELDORA AVE,M2M,146959,Newtonbrook,**,1208
2015,"1,208",CD,Closed,23 ELDORA AVE,M2M,146962,Newtonbrook,**,1208
2015,"1,208",CD,Closed,25 ELDORA AVE,M2M,146965,Newtonbrook,**,1208
2015,"1,208",CD,Closed,49 HENDON AVE,M2M,146968,Newtonbrook,**,1208
2015,"1,208",CD,Closed,9 ELDORA AVE,M2M,147108,Newtonbrook,**,1208
2015,"1,208",CD,Closed,11 ELDORA AVE,M2M,147111,Newtonbrook,**,1208
2015,"1,208",CD,Closed,28 GREENVIEW AVE,M2M,147160,Newtonbrook,**,1208
2017,"1,308",CD,Draft Plan Approved,5200 YONGE ST,M2N,147168,Willowdale South,**,1308
2010,"1,048",CD,Draft Plan Approved,2 ANNDALE DR,M2N,148944,Willowdale South,**,1048
2011,"1,073",CD,Closed,17 ANNDALE DR,M2N,148945,Willowdale South,**,1073
2013,"1,138",CD,Draft Plan Approved,2500 BAYVIEW AVE,M2L,149146,Silver Hills,**,1138
2013,"1,138",CD,Closed,393 SPRING GARDEN AVE,M2N,149336,Willowdale South,**,1138
2017,"1,308",CD,Draft Plan Approved,108 BAYVIEW RIDGE  ,M2L,149354,Silver Hills,**,1308
2017,"1,308",CD,Draft Plan Approved,103 BAYVIEW RIDGE  ,M2L,149650,Silver Hills,**,1308
2016,"1,240",CD,Draft Plan Approved,43 DREWRY AVE,M2M,149803,Newtonbrook,**,1240
2015,"1,208",CD,Final Approval Completed,206 FINCH AVE,M2R,149898,Willowdale West,**,1208
2012,"1,108",CD,Closed,5740 YONGE ST,M2M,150107,Newtonbrook,**,1108
2015,"1,208",CD,Final Approval Completed,208 FINCH AVE,M2R,150119,Willowdale West,**,1208
2012,"1,108",CD,Closed,139 FINCH AVE,M2N,150277,Willowdale South,**,1108
2012,"1,108",CD,Closed,141 FINCH AVE,M2N,150281,Willowdale South,**,1108
2011,"1,073",CD,Closed,169 FINCH AVE,M2N,150286,Willowdale South,**,1073
2011,"1,073",CD,Closed,171 FINCH AVE,M2N,150290,Willowdale South,**,1073
2011,"1,073",CD,Closed,173 FINCH AVE,M2N,150590,Willowdale South,**,1073
2011,"1,073",CD,Closed,177 FINCH AVE,M2N,150594,Willowdale South,**,1073
2012,"1,108",CD,Closed,131 FINCH AVE,M2N,151195,Willowdale South,**,1108
2014,"1,170",CD,Application Received,75 THE DONWAY  ,M3C,151336,Flemingdon Park,1102,1170
2014,"1,170",CD,Closed,75 THE DONWAY  ,M3C,151337,Flemingdon Park,1102,1170
2010,"1,048",CD,Closed,2958 BAYVIEW AVE,M2N,151404,Willowdale South,**,1048
2010,"1,048",CD,Closed,2956 BAYVIEW AVE,M2N,151406,Willowdale South,**,1048
2010,"1,048",CD,Closed,2954 BAYVIEW AVE,M2N,151469,Willowdale South,**,1048
2012,"1,108",CD,Closed,133 FINCH AVE,M2N,151478,Willowdale South,**,1108
2012,"1,108",CD,Closed,137 FINCH AVE,M2N,151482,Willowdale South,**,1108
2010,"1,048",CD,Closed,2952 BAYVIEW AVE,M2N,151766,Willowdale South,**,1048
2014,"1,170",CD,Draft Plan Approved,1181 SHEPPARD AVE,M2K,151812,Bayview Village,1328,1170
2016,"1,240",CD,Closed,125 PARKWAY FOREST DR,M2J,151946,Fairview,1396,1240
2011,"1,073",CD,Closed,17 KENASTON GDNS,M2K,152107,Bayview Village,1381,1073
2018,"1,370",CD,Under Review ,3052 BAYVIEW AVE,M2N,152224,Willowdale South,**,1370
2016,"1,240",CD,Closed,935 EGLINTON AVE,M6C,152280,Humewood-Cedarvale,1386,1240
2016,"1,240",CD,Closed,65 FOREST MANOR RD,M2J,152723,Fairview,1396,1240
2016,"1,240",CD,Closed,110 PARKWAY FOREST DR,M2J,152725,Fairview,1396,1240
2013,"1,138",CD,Draft Plan Approved,100 PARKWAY FOREST DR,M2J,152727,Fairview,1217,1138
2018,"1,370",CD,Draft Plan Approved,591 SHEPPARD AVE,M2K,152795,Bayview Village,1659,1370
2013,"1,138",CD,Closed,100 PARKWAY FOREST DR,M2J,152921,Fairview,1217,1138
2014,"1,170",CD,Closed,100 PARKWAY FOREST DR,M2J,152923,Fairview,1288,1170
2016,"1,240",CD,Closed,32-50 FOREST MANOR RD,M2J,153008,Fairview,1396,1240
2015,"1,208",CD,Under Review ,1677 WESTON RD,M9N,153471,Weston,1045,1208
2016,"1,240",CD,Closed,396 HOPEWELL AVE,M6E,153812,Caledonia-Fairbanks,**,1240
2016,"1,240",CD,Closed,398 HOPEWELL AVE,M6E,153816,Caledonia-Fairbanks,**,1240
2016,"1,240",CD,Closed,398 A HOPEWELL AVE,M6E,153819,Caledonia-Fairbanks,**,1240
2014,"1,170",CD,Under Review ,320 TWEEDSMUIR AVE,M5P,153923,Forest Hill North,1299,1170
2015,"1,208",CD,Closed,2205 SHEPPARD AVE,M2J,153996,Fairview,1329,1208
2017,"1,308",CD,Closed,577 SHEPPARD AVE,M2K,154007,Bayview Village,1538,1308
2014,"1,170",CD,Under Review ,310 TWEEDSMUIR AVE,M5P,154010,Forest Hill North,1299,1170
2016,"1,240",CD,Draft Plan Approved,1100 BRIAR HILL AVE,M6B,154237,Glencairn,**,1240
2016,"1,240",CD,Closed,404 HOPEWELL AVE,M6E,154344,Caledonia-Fairbanks,**,1240
2015,"1,208",CD,Closed,441 JANE ST,M6S,155012,Runnymede,**,1208
2011,"1,073",CD,Closed,38 TIDESWELL BLVD,M1B,155171,Rouge,913,1073
2013,"1,138",CD,Closed,7 B AUSTIN TER,M5R,155292,The Annex,**,1138
2013,"1,138",CD,Draft Plan Approved,18 REAN DR,M2K,155330,Bayview Village,1445,1138
2013,"1,138",CD,Closed,7 C AUSTIN TER,M5R,155370,The Annex,**,1138
2013,"1,138",CD,Closed,7:00 AM AUSTIN TER,M5R,155373,The Annex,**,1138
2012,"1,108",CD,Closed,760 SHEPPARD AVE,M3H,155583,Bathurst Manor,1111,1108
2013,"1,138",CD,Closed,21 WIDMER ST,M5V,155602,CN Tower,**,1138
2013,"1,138",CD,Closed,2008 YONGE ST,M4S,155609,Davisville,**,1138
2018,"1,370",CD,Under Review ,25 CORONET RD,M8Z,155638,Kingsway Park South West,**,1370
2017,"1,308",CD,Closed,21 AVENUE RD,M5R,155658,The Annex,**,1308
2016,"1,240",CD,Closed,125 PARKWAY FOREST DR,M2J,155681,Fairview,1396,1240
2016,"1,240",CD,Closed,130 PARKWAY FOREST DR,M2J,155689,Fairview,1396,1240
2015,"1,208",CD,Closed,36 HAZELTON AVE,M5R,155859,The Annex,**,1208
2016,"1,240",CD,Final Approval Completed,3615 MCNICOLL AVE,M1X,155893,Upper Rouge,**,1240
2016,"1,240",CD,Closed,780 SHEPPARD AVE,M2K,155897,Bayview Village,1496,1240
2010,"1,048",CD,Closed,1636 DUNDAS ST,M6K,155921,Brockton,**,1048
2016,"1,240",CD,Closed,1 SULTAN ST,M5S,155967,Harbord,**,1240
2016,"1,240",CD,Closed,111 BATHURST ST,M5V,156079,CN Tower,**,1240
2015,"1,208",CD,Closed,3560 ST CLAIR AVE,M1K,156137,East Birchmount Park,1006,1208
2015,"1,208",CD,Closed,3560 ST CLAIR AVE,M1K,156137,East Birchmount Park,1015,1208
2018,"1,370",CD,Draft Plan Approved,2263 YONGE ST,M4P,156170,Davisville North,**,1370
2011,"1,073",CD,Closed,484 LYTTON BLVD,M5N,156237,Roselawn,**,1073
2018,"1,370",CD,Under Review ,25 BATHURST ST,M5V,156301,CN Tower,**,1370
2018,"1,370",CD,Under Review ,25 BATHURST ST,M5V,156303,CN Tower,**,1370
2018,"1,370",CD,Closed,50 FOREST MANOR RD,M2J,156370,Fairview,1526,1370
2011,"1,073",CD,Closed,390 CHERRY ST,M5A,156394,Harbourfront,**,1073
2013,"1,138",CD,Closed,390 CHERRY ST,M5A,156395,Harbourfront,**,1138
2013,"1,138",CD,Closed,70 BOULTON AVE,M4M,156439,Studio District,**,1138
2014,"1,170",CD,Closed,11 SUPERIOR AVE,M8V,156443,Humber Bay Shores,879,1170
2015,"1,208",CD,Closed,455 FRONT ST,M5A,156484,Harbourfront,**,1208
2018,"1,370",CD,Draft Plan Approved,8 EGLINTON AVE,M4P,156491,Davisville North,**,1370
2014,"1,170",CD,Closed,2150 LAWRENCE AVE,M1R,156502,Maryvale,**,1170
2012,"1,108",CD,Closed,22 LEADER LANE,M5C,156503,St. James Town,**,1108
2013,"1,138",CD,Closed,299 ADELAIDE ST,M5V,156589,CN Tower,**,1138
