Year,Total,APPLICATION_TYPE,STATUS,ADDRESS,Postcode,_id,Neighbourhood,Rent,Whole_Toronto_AV
2015,"1,208",CD,Closed,377 MADISON AVE,M4V,156599,Deer Park,**,1208
2012,"1,108",CD,Closed,06-Feb EVA RD,M9C,156753,Bloordale Gardens,**,1108
2012,"1,108",CD,Closed,06-Feb EVA RD,M9C,156754,Bloordale Gardens,**,1108
2016,"1,240",CD,Closed,440 ADELAIDE ST,M5V,156831,CN Tower,**,1240
2014,"1,170",CD,Closed,2392-2398 LAKE SHORE BLVD,M8V,156937,Humber Bay Shores,879,1170
2011,"1,073",CD,Closed,3360 KINGSTON RD,M1M,157365,Cliffcrest,1060,1073
2017,"1,308",CD,Under Review ,86 GUIDED CRT,M9V,157648,Albion Gardens,**,1308
2015,"1,208",CD,Closed,6620 FINCH AVE,M9V,157790,Albion Gardens,**,1208
2015,"1,208",CD,Closed,3560 LAKE SHORE BLVD,M8W,157899,Alderwood,949,1208
2015,"1,208",CD,Closed,3560 LAKE SHORE BLVD,M8W,157899,Alderwood,1084,1208
2015,"1,208",CD,Closed,3560 LAKE SHORE BLVD,M8W,157900,Alderwood,1084,1208
2015,"1,208",CD,Closed,3560 LAKE SHORE BLVD,M8W,157900,Alderwood,949,1208
2015,"1,208",CD,Under Review ,431 ROYAL YORK RD,M8Y,158298,Humber Bay,**,1208
2015,"1,208",CD,Closed,3600 LAKE SHORE BLVD,M8W,158301,Alderwood,949,1208
2015,"1,208",CD,Closed,3600 LAKE SHORE BLVD,M8W,158301,Alderwood,1084,1208
2015,"1,208",CD,Closed,3600 LAKE SHORE BLVD,M8W,158302,Alderwood,1084,1208
2015,"1,208",CD,Closed,3600 LAKE SHORE BLVD,M8W,158302,Alderwood,949,1208
2010,"1,048",CD,Closed,1772-1778 ALBION RD,M9V,158338,Albion Gardens,**,1048
2010,"1,048",CD,Closed,1770 ALBION RD,M9V,158341,Albion Gardens,**,1048
2015,"1,208",CD,Closed,80 GALAXY BLVD,M9W,158463,Northwest,**,1208
2014,"1,170",CD,Closed,1780 ALBION RD,M9V,158610,Albion Gardens,**,1170
2012,"1,108",CD,Closed,1183 QUEEN ST,M4M,158824,Studio District,**,1108
2018,"1,370",CD,Draft Plan Approved,36 WELLESLEY ST,M4Y,158872,Church and Wellesley,**,1370
2010,"1,048",CD,Closed,18 LOWER JARVIS ST,M5E,158903,Berczy Park,**,1048
2013,"1,138",CD,Closed,25 MERTON ST,M4S,158923,Davisville,**,1138
2015,"1,208",CD,Closed,50 BARTLETT AVE,M6H,158981,Dovercourt Village,**,1208
2013,"1,138",CD,Closed,3 STADACONA DR,M6A,159039,Lawrence Heights,**,1138
2014,"1,170",CD,Draft Plan Approved,851 MILLWOOD RD,M4G,159046,Leaside,**,1170
2016,"1,240",CD,Closed,213 ST CLAIR AVE,M4V,159052,Deer Park,**,1240
2015,"1,208",CD,Under Review ,1985 VICTORIA PARK AVE,M1R,159076,Maryvale,**,1208
2012,"1,108",CD,Closed,6 EVA RD,M9C,159077,Bloordale Gardens,**,1108
2016,"1,240",CD,Closed,436 ADELAIDE ST,M5V,159117,CN Tower,**,1240
2016,"1,240",CD,Closed,442 ADELAIDE ST,M5V,159123,CN Tower,**,1240
2017,"1,308",CD,Draft Plan Approved,3091 DUFFERIN ST,M6A,159189,Lawrence Heights,**,1308
2014,"1,170",CD,Draft Plan Approved,25 CUNNINGHAM AVE,M6K,159266,Brockton,**,1170
2018,"1,370",CD,Draft Plan Approved,503 ADELAIDE ST,M5V,159290,CN Tower,**,1370
2010,"1,048",CD,Closed,50 R RYERSON AVE,M5T,159464,Chinatown,**,1048
2015,"1,208",CD,Under Review ,1967 VICTORIA PARK AVE,M1R,159655,Maryvale,**,1208
2013,"1,138",CD,Closed,17 KIPPENDAVIE AVE,M4L,159786,The Beaches West,**,1138
2013,"1,138",CD,Closed,1 LYNDHURST CRT,M5R,160078,The Annex,**,1138
2014,"1,170",CD,Draft Plan Approved,1001-1019 SHEPPARD AVE,M2K,160158,Bayview Village,1328,1170
2014,"1,170",CD,Closed,940 LANSDOWNE AVE,M6H,160223,Dovercourt Village,**,1170
2013,"1,138",CD,Draft Plan Approved,120-130 GEORGE HENRY BLVD,M2J,160412,Fairview,1217,1138
2013,"1,138",CD,Closed,120-130 GEORGE HENRY BLVD,M2J,160413,Fairview,1217,1138
2014,"1,170",CD,Closed,120-130 GEORGE HENRY BLVD,M2J,160414,Fairview,1288,1170
2016,"1,240",CD,Closed,120-130 GEORGE HENRY BLVD,M2J,160416,Fairview,1396,1240
2014,"1,170",CD,Closed,349 CARLAW AVE,M4M,160500,Studio District,**,1170
2010,"1,048",CD,Closed,150 SUDBURY ST,M6J,160575,Little Portugal,**,1048
2017,"1,308",CD,Draft Plan Approved,5184 YONGE ST,M2N,160866,Willowdale South,**,1308
2013,"1,138",CD,Closed,31 WIDMER ST,M5V,160899,CN Tower,**,1138
2015,"1,208",CD,Closed,200 JARVIS ST,M5B,160921,Ryerson,**,1208
2017,"1,308",CD,Draft Plan Approved,5186 YONGE ST,M2N,161123,Willowdale South,**,1308
2017,"1,308",CD,Draft Plan Approved,5192 YONGE ST,M2N,161126,Willowdale South,**,1308
2014,"1,170",CD,Closed,21 AVENUE RD,M5R,161191,The Annex,**,1170
2018,"1,370",CD,Under Review ,144 BERRY RD,M8Y,162125,Humber Bay,**,1370
2016,"1,240",CD,Closed,636 EVANS AVE,M8W,162284,Alderwood,945,1240
2016,"1,240",CD,Closed,636 EVANS AVE,M8W,162284,Alderwood,1245,1240
2014,"1,170",CD,Closed,3879 BLOOR ST,M9B,162479,Cloverdale,**,1170
2018,"1,370",CD,Under Review ,150 BERRY RD,M8Y,162508,Humber Bay,**,1370
2018,"1,370",CD,Closed,5365 DUNDAS ST,M9B,162606,Cloverdale,**,1370
2011,"1,073",CD,Closed,1214 ROYAL YORK RD,M9A,162631,Islington Avenue,**,1073
2012,"1,108",CD,Closed,1 VALHALLA INN RD,M9B,162878,Cloverdale,**,1108
2016,"1,240",CD,Closed,15 ZORRA ST,M8Z,162965,Kingsway Park South West,**,1240
2012,"1,108",CD,Draft Plan Approved,1 VALHALLA INN RD,M9B,163128,Cloverdale,**,1108
2016,"1,240",CD,Closed,2 HOLIDAY DR,M9C,163291,Bloordale Gardens,**,1240
2012,"1,108",CD,Closed,2 EVA RD,M9C,163612,Bloordale Gardens,**,1108
2012,"1,108",CD,Closed,6 EVA RD,M9C,163614,Bloordale Gardens,**,1108
2017,"1,308",CD,Draft Plan Approved,5182 YONGE ST,M2N,163756,Willowdale South,**,1308
2014,"1,170",CD,Draft Plan Approved,18 CONCORDE PL,M3C,163787,Flemingdon Park,1102,1170
2011,"1,073",CD,Closed,177 FINCH AVE,M2N,163800,Willowdale South,**,1073
2015,"1,208",CD,Under Review ,1991 VICTORIA PARK AVE,M1R,163823,Maryvale,**,1208
2011,"1,073",CD,Closed,1214 ROYAL YORK RD,M9A,163875,Islington Avenue,**,1073
2014,"1,170",CD,Draft Plan Approved,18 FORT YORK BLVD,M5V,163885,CN Tower,**,1170
2014,"1,170",CD,Closed,111 ST CLAIR AVE,M4V,163891,Deer Park,**,1170
2018,"1,370",CD,Draft Plan Approved,899 QUEEN ST,M4M,164063,Studio District,**,1370
2018,"1,370",CD,Closed,21 ALLENBURY GDNS,M2J,164082,Fairview,1526,1370
2016,"1,240",CD,Closed,100 PARKWAY FOREST DR,M2J,164094,Fairview,1396,1240
2014,"1,170",CD,Closed,940 LANSDOWNE AVE,M6H,164125,Dovercourt Village,**,1170
2017,"1,308",CD,Closed,501 ST CLAIR AVE,M5R,164152,The Annex,**,1308
2016,"1,240",CD,Closed,1962 A QUEEN ST,M4L,164220,The Beaches West,**,1240
2011,"1,073",CD,Closed,250 MANNING AVE,M6J,164256,Little Portugal,**,1073
2016,"1,240",CD,Closed,80 FOREST MANOR RD,M2J,164263,Fairview,1396,1240
2018,"1,370",CD,Draft Plan Approved,1548 KINGSTON RD,M1N,164287,Birch Cliff,**,1370
2018,"1,370",CD,Draft Plan Approved,5 GLOUCESTER ST,M4Y,164324,Church and Wellesley,**,1370
2013,"1,138",CD,Closed,70 BOULTON AVE,M4M,164409,Studio District,**,1138
2015,"1,208",CD,Closed,34 HAZELTON AVE,M5R,164419,The Annex,**,1208
2017,"1,308",CD,Draft Plan Approved,1355 NEILSON RD,M1B,164449,Rouge,1141,1308
2010,"1,048",CD,Closed,5101 DUNDAS ST,M9A,164455,Islington Avenue,**,1048
2016,"1,240",CD,Closed,64 B SHUTER ST,M5B,164472,Ryerson,**,1240
2014,"1,170",CD,Closed,191 DUPLEX AVE,M5P,164588,Forest Hill North,1299,1170
2012,"1,108",CD,Closed,758 SHEPPARD AVE,M3H,164646,Bathurst Manor,1111,1108
2016,"1,240",CD,Closed,130 PARKWAY FOREST DR,M2J,164660,Fairview,1396,1240
2012,"1,108",CD,Closed,758 SHEPPARD AVE,M3H,164693,Bathurst Manor,1111,1108
2018,"1,370",CD,Draft Plan Approved,95 BERKELEY ST,M5A,164712,Harbourfront,**,1370
2018,"1,370",CD,Draft Plan Approved,850 YONGE ST,M4W,164741,Rosedale,**,1370
2018,"1,370",CD,Draft Plan Approved,850 YONGE ST,M4W,164742,Rosedale,**,1370
2017,"1,308",CD,Draft Plan Approved,1030 ISLINGTON AVE,M8Z,164801,Kingsway Park South West,**,1308
2010,"1,048",CD,Closed,1717 AVENUE RD,M5M,164819,Bedford Park,**,1048
2018,"1,370",CD,Under Review ,2183 LAKE SHORE BLVD,M8V,164946,Humber Bay Shores,1046,1370
2018,"1,370",CD,Under Review ,2183 LAKE SHORE BLVD,M8V,164947,Humber Bay Shores,1046,1370
2016,"1,240",CD,Closed,130 GEORGE HENRY BLVD,M2J,165009,Fairview,1396,1240
2018,"1,370",CD,Under Review ,2183 LAKE SHORE BLVD,M8V,165148,Humber Bay Shores,1046,1370
2016,"1,240",CD,Closed,36 PARK LAWN RD,M8Y,165227,Humber Bay,**,1240
2017,"1,308",CD,Under Review ,10 PARK LAWN RD,M8Y,165235,Humber Bay,**,1308
2015,"1,208",CD,Under Review ,28 MARINA AVE,M8W,165247,Alderwood,949,1208
2015,"1,208",CD,Under Review ,28 MARINA AVE,M8W,165247,Alderwood,1084,1208
2018,"1,370",CD,Closed,05-Mar ALLENBURY GDNS,M2J,165419,Fairview,1526,1370
2012,"1,108",CD,Closed,3563 LAKE SHORE BLVD,M8W,165426,Alderwood,1133,1108
2012,"1,108",CD,Closed,3563 LAKE SHORE BLVD,M8W,165426,Alderwood,831,1108
2010,"1,048",CD,Closed,20 MARINA AVE,M8W,165433,Alderwood,**,1048
2010,"1,048",CD,Closed,20 MARINA AVE,M8W,165433,Alderwood,1149,1048
2012,"1,108",CD,Closed,2230 LAKE SHORE BLVD,M8V,165448,Humber Bay Shores,854,1108
2014,"1,170",CD,Closed,475 ROGERS RD,M6M,165706,Del Ray,1053,1170
2018,"1,370",CD,Under Review ,68 DAISY AVE,M8W,165711,Alderwood,1041,1370
2018,"1,370",CD,Under Review ,68 DAISY AVE,M8W,165711,Alderwood,1435,1370
2013,"1,138",CD,Closed,2 OLD MILL DR,M6S,165914,Runnymede,**,1138
2017,"1,308",CD,Final Approval Completed,204 BATHURST ST,M5T,165973,Chinatown,**,1308
2016,"1,240",CD,Closed,571 DUNDAS ST,M5T,166016,Chinatown,**,1240
2013,"1,138",CD,Closed,2500 BLOOR ST,M6S,166076,Runnymede,**,1138
2016,"1,240",CD,Draft Plan Approved,2151-2153 LAKE SHORE BLVD,M8V,166120,Humber Bay Shores,950,1240
2013,"1,138",CD,Closed,1:00 AM LYNDHURST CRT,M5R,166145,The Annex,**,1138
2016,"1,240",CD,Draft Plan Approved,2151-2153 LAKE SHORE BLVD,M8V,166185,Humber Bay Shores,950,1240
2014,"1,170",CD,Closed,2157 LAKE SHORE BLVD,M8V,166196,Humber Bay Shores,879,1170
2017,"1,308",CD,Closed,2800 KEELE ST,M3M,166202,Downsview Central,**,1308
2014,"1,170",CD,Closed,32 DAVENPORT RD,M5R,166236,The Annex,**,1170
2013,"1,138",CD,Closed,1 B LYNDHURST CRT,M5R,166337,The Annex,**,1138
2013,"1,138",CD,Closed,1 C LYNDHURST CRT,M5R,166340,The Annex,**,1138
2013,"1,138",CD,Closed,21 SHAFTESBURY AVE,M4T,166389,Moore Park,1439,1138
2016,"1,240",CD,Closed,80 FOREST MANOR RD,M2J,166818,Fairview,1396,1240
2015,"1,208",CD,Under Review ,1973 VICTORIA PARK AVE,M1R,166825,Maryvale,**,1208
2016,"1,240",CD,Closed,927 A EGLINTON AVE,M6C,166902,Humewood-Cedarvale,1386,1240
2011,"1,073",CD,Closed,2761 MARKHAM RD,M1X,166952,Upper Rouge,**,1073
2010,"1,048",CD,Closed,0 SINGER CRT,M2K,167180,Bayview Village,1325,1048
2013,"1,138",CD,Closed,68 MARINE PARADE DR,M8V,167219,Humber Bay Shores,886,1138
2011,"1,073",CD,Closed,484 LYTTON BLVD,M5N,167516,Roselawn,**,1073
2015,"1,208",CD,Closed,199 RICHMOND ST,M5V,167635,CN Tower,**,1208
2016,"1,240",CD,Closed,199 RICHMOND ST,M5V,167636,CN Tower,**,1240
2018,"1,370",CD,Draft Plan Approved,955 BAY ST,M5S,167663,Harbord,**,1370
2014,"1,170",CD,Closed,180 SUDBURY ST,M6J,167696,Little Portugal,**,1170
2016,"1,240",CD,Draft Plan Approved,26 FIELDWAY RD,M8Z,167859,Kingsway Park South West,**,1240
2016,"1,240",CD,Draft Plan Approved,30 FIELDWAY RD,M8Z,167862,Kingsway Park South West,**,1240
2017,"1,308",CD,Closed,1040 ISLINGTON AVE,M8Z,167869,Kingsway Park South West,**,1308
2017,"1,308",CD,Draft Plan Approved,1040 ISLINGTON AVE,M8Z,167870,Kingsway Park South West,**,1308
2017,"1,308",CD,Draft Plan Approved,2059 WESTON RD,M9N,167927,Weston,1117,1308
2016,"1,240",CD,Closed,46 NORTH QUEEN ST,M8Z,169682,Kingsway Park South West,**,1240
2014,"1,170",CD,Closed,760 THE QUEENSWAY  ,M8Z,169948,Kingsway Park South West,**,1170
2018,"1,370",CD,Closed,17 ALLENBURY GDNS,M2J,170088,Fairview,1526,1370
2017,"1,308",CD,Draft Plan Approved,10 YORK ST,M5J,170090,Harbourfront East,**,1308
2015,"1,208",CD,Closed,441 RICHMOND ST,M5V,170224,CN Tower,**,1208
2017,"1,308",CD,Closed,1088 KINGSTON RD,M1N,170262,Birch Cliff,**,1308
2018,"1,370",CD,Under Review ,8833 SHEPPARD AVE,M1B,170308,Rouge,1162,1370
2018,"1,370",CD,Draft Plan Approved,118 PARLIAMENT ST,M5A,170369,Harbourfront,**,1370
2016,"1,240",CD,Closed,400 A HOPEWELL AVE,M6E,170397,Caledonia-Fairbanks,**,1240
2016,"1,240",CD,Closed,400 HOPEWELL AVE,M6E,170400,Caledonia-Fairbanks,**,1240
2018,"1,370",CD,Closed,3 KINGSLAKE RD,M2J,170413,Fairview,1526,1370
2015,"1,208",CD,Under Review ,1979 VICTORIA PARK AVE,M1R,170443,Maryvale,**,1208
2018,"1,370",CD,Closed,5 KINGSLAKE RD,M2J,170450,Fairview,1526,1370
2016,"1,240",CD,Closed,50 CHARLES ST,M4Y,170465,Church and Wellesley,**,1240
2017,"1,308",CD,Closed,50 CHARLES ST,M4Y,170467,Church and Wellesley,**,1308
2015,"1,208",CD,Draft Plan Approved,17 R BEVERLEY ST,M5T,170509,Chinatown,**,1208
2010,"1,048",CD,Closed,676 SHEPPARD AVE,M2K,170530,Bayview Village,1325,1048
2016,"1,240",CD,Closed,221 ST CLAIR AVE,M4V,170549,Deer Park,**,1240
2012,"1,108",CD,Draft Plan Approved,175 MADISON AVE,M5R,170584,The Annex,**,1108
2018,"1,370",CD,Closed,11 ALLENBURY GDNS,M2J,170594,Fairview,1526,1370
2016,"1,240",CD,Closed,1962 QUEEN ST,M4L,170632,The Beaches West,**,1240
2012,"1,108",CD,Closed,2 EVA RD,M9C,170648,Bloordale Gardens,**,1108
2016,"1,240",CD,Closed,925 EGLINTON AVE,M6C,170669,Humewood-Cedarvale,1386,1240
2016,"1,240",CD,Closed,927 EGLINTON AVE,M6C,170672,Humewood-Cedarvale,1386,1240
2014,"1,170",CD,Closed,50 CURZON ST,M4M,170681,Studio District,**,1170
2010,"1,048",CD,Closed,570 WELLINGTON ST,M5V,170688,CN Tower,**,1048
2018,"1,370",CD,Draft Plan Approved,602 KING ST,M5V,170749,CN Tower,**,1370
2018,"1,370",CD,Closed,173 EGLINTON AVE,M4P,170764,Davisville North,**,1370
2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,170790,The Annex,**,1208
2014,"1,170",CD,Closed,133 HAZELTON AVE,M5R,170802,The Annex,**,1170
2013,"1,138",CD,Closed,568 JARVIS ST,M4Y,170854,Church and Wellesley,**,1138
2016,"1,240",CD,Closed,3 SULTAN ST,M5S,170895,Harbord,**,1240
2016,"1,240",CD,Closed,217 ST CLAIR AVE,M4V,171019,Deer Park,**,1240
2017,"1,308",CD,Closed,132 QUEENS QUAY  ,M5A,171050,Harbourfront,**,1308
2016,"1,240",CD,Closed,646 KINGSTON RD,M4E,171062,The Beaches,1217,1240
2011,"1,073",CD,Closed,840 COXWELL AVE,M4C,171115,Woodbine Heights,**,1073
2012,"1,108",CD,Closed,24 BATHURST ST,M5V,171163,CN Tower,**,1108
2017,"1,308",CD,Closed,1238 AVENUE RD,M5N,171224,Roselawn,**,1308
2016,"1,240",CD,Closed,250 ROYAL YORK RD,M8V,171426,Humber Bay Shores,950,1240
2015,"1,208",CD,Closed,445 RICHMOND ST,M5V,171446,CN Tower,**,1208
2016,"1,240",CD,Closed,280 MANSE RD,M1E,171492,Guildwood,**,1240
2016,"1,240",CD,Closed,280 MANSE RD,M1E,171492,Guildwood,1043,1240
2016,"1,240",CD,Closed,280 MANSE RD,M1E,171492,Guildwood,1068,1240
2014,"1,170",CD,Closed,16 YORK ST,M5J,171662,Harbourfront East,**,1170
2012,"1,108",CD,Closed,1246 AVENUE RD,M5N,171671,Roselawn,**,1108
2018,"1,370",CD,Closed,35 DUNDONALD ST,M4Y,171685,Church and Wellesley,**,1370
2016,"1,240",CD,Closed,2175 LAKE SHORE BLVD,M8V,171715,Humber Bay Shores,950,1240
2017,"1,308",CD,Draft Plan Approved,5218 YONGE ST,M2N,171764,Willowdale South,**,1308
2013,"1,138",CD,Closed,180 SHAW ST,M6J,171779,Little Portugal,**,1138
2015,"1,208",CD,Closed,38 HAZELTON AVE,M5R,171815,The Annex,**,1208
2017,"1,308",CD,Closed,1445 BATHURST ST,M5R,171817,The Annex,**,1308
2015,"1,208",CD,Closed,270 SPADINA AVE,M5T,171851,Chinatown,**,1208
2010,"1,048",CD,Under Review ,4759-4789 YONGE ST,M2N,171898,Willowdale South,**,1048
2012,"1,108",CD,Draft Plan Approved,4759-4789 YONGE ST,M2N,171899,Willowdale South,**,1108
2014,"1,170",CD,Closed,2737 KEELE ST,M3M,171968,Downsview Central,**,1170
2018,"1,370",CD,Closed,50 WELLESLEY ST,M4Y,171977,Church and Wellesley,**,1370
2015,"1,208",CD,Draft Plan Approved,23 BEVERLEY ST,M5T,172016,Chinatown,**,1208
2012,"1,108",CD,Closed,1638 BLOOR ST,M6P,172153,High Park,**,1108
2017,"1,308",CD,Closed,1092 KINGSTON RD,M1N,172167,Birch Cliff,**,1308
2017,"1,308",CD,Closed,1451 BATHURST ST,M5R,172210,The Annex,**,1308
2012,"1,108",CD,Closed,530 ST CLAIR AVE,M6C,172256,Humewood-Cedarvale,1141,1108
2014,"1,170",CD,Closed,30 HOWARD PARK AVE,M6R,172285,Parkdale,942,1170
2013,"1,138",CD,Closed,2200 LAKE SHORE BLVD,M8V,172316,Humber Bay Shores,886,1138
2013,"1,138",CD,Closed,2200 LAKE SHORE BLVD,M8V,172317,Humber Bay Shores,886,1138
2014,"1,170",CD,Closed,2010 ELLESMERE RD,M1H,172341,Cedarbrae,**,1170
2016,"1,240",CD,Closed,3087-3095 DUFFERIN ST,M6A,172413,Lawrence Heights,**,1240
2016,"1,240",CD,Closed,109 OSSINGTON AVE,M6J,172421,Little Portugal,**,1240
2016,"1,240",CD,Closed,210 EASTERN AVE,M5A,172629,Harbourfront,**,1240
2018,"1,370",CD,Draft Plan Approved,11 ADELAIDE PL,M5V,172749,CN Tower,**,1370
2013,"1,138",CD,Closed,75 ST NICHOLAS ST,M4Y,172766,Church and Wellesley,**,1138
2017,"1,308",CD,Under Review ,99 BROADWAY AVE,M4P,172835,Davisville North,**,1308
2015,"1,208",CD,Under Review ,1973-1991 VICTORIA PARK AVE,M1R,172838,Maryvale,**,1208
2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,172864,The Annex,**,1208
2011,"1,073",CD,Closed,250 MANNING AVE,M6J,172873,Little Portugal,**,1073
2010,"1,048",CD,Closed,8 HIGHBOURNE RD,M5P,172930,Forest Hill North,1066,1048
2014,"1,170",CD,Final Approval Completed,892 THE QUEENSWAY  ,M8Z,172948,Kingsway Park South West,**,1170
2012,"1,108",CD,Closed,3567 LAKE SHORE BLVD,M8W,173038,Alderwood,1133,1108
2012,"1,108",CD,Closed,3567 LAKE SHORE BLVD,M8W,173038,Alderwood,831,1108
2017,"1,308",CD,Closed,1377 SHEPPARD AVE,M3K,173062,CFB Toronto,**,1308
2017,"1,308",CD,Closed,1377 SHEPPARD AVE,M3K,173064,CFB Toronto,**,1308
2015,"1,208",CD,Draft Plan Approved,2179 WESTON RD,M9N,173071,Weston,1045,1208
2013,"1,138",CD,Closed,17 KIPPENDAVIE AVE,M4L,173132,The Beaches West,**,1138
2016,"1,240",CD,Closed,1657 BATHURST ST,M5P,173220,Forest Hill North,1327,1240
2014,"1,170",CD,Draft Plan Approved,19 CUNNINGHAM AVE,M6K,173263,Brockton,**,1170
2017,"1,308",CD,Closed,135 YORKVILLE AVE,M5R,173275,The Annex,**,1308
2015,"1,208",CD,Under Review ,62 LONG BRANCH AVE,M8W,173315,Alderwood,1084,1208
2015,"1,208",CD,Under Review ,62 LONG BRANCH AVE,M8W,173315,Alderwood,949,1208
2015,"1,208",CD,Closed,1 BLOOR ST,M4W,173332,Rosedale,**,1208
2018,"1,370",CD,Under Review ,175 JONES AVE,M4M,173344,Studio District,**,1370
2014,"1,170",CD,Closed,32 DAVENPORT RD,M5R,173380,The Annex,**,1170
2012,"1,108",CD,Closed,999 DUNDAS ST,M4M,173479,Studio District,**,1108
2013,"1,138",CD,Closed,1144 ISLINGTON AVE,M8Z,173535,Kingsway Park South West,**,1138
2012,"1,108",CD,Closed,37 KING ST,M5C,173571,St. James Town,**,1108
2018,"1,370",CD,Draft Plan Approved,171 ROEHAMPTON AVE,M4P,173719,Davisville North,**,1370
2018,"1,370",CD,Under Review ,480 UNIVERSITY AVE,M5G,173734,Central Bay Street,**,1370
2015,"1,208",CD,Closed,364 DUNDAS ST,M5A,173736,Harbourfront,**,1208
2013,"1,138",CD,Closed,76 KIPPENDAVIE AVE,M4L,173888,The Beaches West,**,1138
2012,"1,108",CD,Closed,135 FINCH AVE,M2N,173917,Willowdale South,**,1108
2014,"1,170",CD,Draft Plan Approved,844 RICHMOND ST,M6J,174035,Little Portugal,**,1170
2016,"1,240",CD,Closed,50-60 CHARLES ST,M4Y,174045,Church and Wellesley,**,1240
2017,"1,308",CD,Closed,50-60 CHARLES ST,M4Y,174046,Church and Wellesley,**,1308
2018,"1,370",CD,Draft Plan Approved,122 PARLIAMENT ST,M5A,174059,Harbourfront,**,1370
2016,"1,240",CD,Closed,297 COLLEGE ST,M5T,174135,Chinatown,**,1240
2013,"1,138",CD,Closed,120 TWENTY FOURTH ST,M8V,174160,Humber Bay Shores,886,1138
2014,"1,170",CD,Closed,280 DONLANDS AVE,M4J,174222,East Toronto,**,1170
2014,"1,170",CD,Closed,303 KINGSTON RD,M4L,174251,The Beaches West,**,1170
